TransactionID,AccountID,Amount,Merchant,Category,Timestamp,Location
TXN000001,ACC0028,464.28,Amazon,Shopping,2023-07-06 13:04:00,"Houston, USA"
TXN000002,ACC0043,42.27,Shell,Gas,2023-09-17 09:42:00,"Vancouver, Canada"
TXN000003,ACC0027,63.35,Shell,Gas,2023-08-04 21:24:00,"Houston, USA"
TXN000004,ACC0044,430.65,Airbnb,Travel,2023-10-08 00:19:00,"Boston, USA"
TXN000005,ACC0019,1582.23,Best Buy,Electronics,2023-08-27 14:28:00,"Seattle, USA"
TXN000006,ACC0044,972.71,Best Buy,Electronics,2023-12-04 02:18:00,"Seattle, USA"
TXN000007,ACC0033,63.83,Uber,Transportation,2023-12-11 09:14:00,"Houston, USA"
TXN000008,ACC0013,1.75,Whole Foods,Groceries,2023-01-23 22:18:00,"São Paulo, Brazil"
TXN000009,ACC0002,492.29,Walmart,Shopping,2023-08-22 13:56:00,"Los Angeles, USA"
TXN000010,ACC0041,1450.77,Apple Store,Electronics,2023-05-05 04:41:00,"Boston, USA"
TXN000011,ACC0045,380.46,Amazon,Shopping,2023-08-06 07:11:00,"Houston, USA"
TXN000012,ACC0045,7.26,Netflix,Subscription,2023-08-22 04:51:00,"Los Angeles, USA"
TXN000013,ACC0030,98.85,Uber,Transportation,2023-11-10 23:57:00,"San Francisco, USA"
TXN000014,ACC0033,182.77,Trader Joe's,Groceries,2023-09-01 14:16:00,"Chicago, USA"
TXN000015,ACC0049,132.97,Costco,Groceries,2023-09-06 20:15:00,Singapore
TXN000016,ACC0018,109.32,Subway,Restaurants,2023-06-13 17:05:00,"Seattle, USA"
TXN000017,ACC0009,203.86,Target,Shopping,2023-02-02 13:26:00,"Houston, USA"
TXN000018,ACC0022,23.71,Spotify,Subscription,2023-07-19 18:44:00,"Boston, USA"
TXN000019,ACC0002,1554.63,American Airlines,Travel,2023-06-30 09:48:00,"New York, USA"
TXN000020,ACC0025,1911.52,American Airlines,Travel,2023-09-07 07:17:00,"Houston, USA"
TXN000021,ACC0028,63.22,Chipotle,Restaurants,2023-03-26 14:58:00,"Boston, USA"
TXN000022,ACC0009,102.58,Microsoft Store,Electronics,2023-02-12 20:27:00,"New York, USA"
TXN000023,ACC0009,445.29,American Airlines,Travel,2023-04-19 14:20:00,"Seattle, USA"
TXN000024,ACC0022,820.34,Expedia,Travel,2023-05-10 02:30:00,"Tokyo, Japan"
TXN000025,ACC0002,198.96,Airbnb,Travel,2023-11-29 02:49:00,"San Francisco, USA"
TXN000026,ACC0042,34.89,Walmart,Shopping,2023-11-15 04:15:00,"New York, USA"
TXN000027,ACC0009,24.24,Chipotle,Restaurants,2023-12-25 08:49:00,"Sydney, Australia"
TXN000028,ACC0024,619.03,Home Depot,Home Improvement,2023-03-25 09:06:00,"Houston, USA"
TXN000029,ACC0038,169.74,Amazon,Shopping,2023-07-23 22:12:00,"Boston, USA"
TXN000030,ACC0005,1669.61,Apple Store,Electronics,2023-12-17 19:51:00,"Miami, USA"
TXN000031,ACC0008,1587.01,Delta Airlines,Travel,2023-12-05 11:04:00,"Boston, USA"
TXN000032,ACC0033,5.57,Google Play,Subscription,2023-02-24 13:23:00,"San Francisco, USA"
TXN000033,ACC0041,1443.89,United Airlines,Travel,2023-11-12 17:49:00,"Miami, USA"
TXN000034,ACC0031,125.25,Subway,Restaurants,2023-05-06 02:17:00,"Seattle, USA"
TXN000035,ACC0029,100.97,Costco,Groceries,2023-06-22 00:31:00,"Boston, USA"
TXN000036,ACC0021,235.76,Home Depot,Home Improvement,2023-05-24 19:44:00,"London, UK"
TXN000037,ACC0018,28.25,Spotify,Subscription,2023-07-28 15:35:00,"Houston, USA"
TXN000038,ACC0049,103.08,Costco,Groceries,2023-01-09 02:18:00,"Sydney, Australia"
TXN000039,ACC0015,60.01,Whole Foods,Groceries,2023-08-31 17:33:00,"Seattle, USA"
TXN000040,ACC0023,116.82,Trader Joe's,Groceries,2023-05-19 09:16:00,"San Francisco, USA"
TXN000041,ACC0015,35.35,McDonald's,Restaurants,2023-04-09 06:47:00,"Chicago, USA"
TXN000042,ACC0031,303.0,CVS Pharmacy,Healthcare,2023-05-25 03:53:00,"Buenos Aires, Argentina"
TXN000043,ACC0013,193.22,Walgreens,Healthcare,2023-05-21 01:03:00,"Chicago, USA"
TXN000044,ACC0036,473.16,Walgreens,Healthcare,2023-02-22 00:36:00,"San Francisco, USA"
TXN000045,ACC0019,70.55,Chipotle,Restaurants,2023-05-10 15:07:00,"New York, USA"
TXN000046,ACC0005,23031.83,Starbucks,Restaurants,2023-03-19 04:51:00,"Los Angeles, USA"
TXN000047,ACC0037,497.08,Walgreens,Healthcare,2023-11-07 19:50:00,"Boston, USA"
TXN000048,ACC0040,111.68,Costco,Groceries,2023-06-02 18:27:00,"San Francisco, USA"
TXN000049,ACC0020,167.45,Apple Store,Electronics,2023-04-17 20:13:00,"Houston, USA"
TXN000050,ACC0017,19.92,Uber,Transportation,2023-03-22 00:26:00,"Los Angeles, USA"
TXN000051,ACC0029,49.64,Lyft,Transportation,2023-12-28 09:44:00,"Miami, USA"
TXN000052,ACC0030,41.15,Starbucks,Restaurants,2023-08-06 03:34:00,"Houston, USA"
TXN000053,ACC0015,45.88,Google Play,Subscription,2023-01-31 05:50:00,"Chicago, USA"
TXN000054,ACC0020,31776.98,United Airlines,Travel,2023-08-13 03:29:00,"Vancouver, Canada"
TXN000055,ACC0045,213.2,Walgreens,Healthcare,2023-08-13 02:38:00,"San Francisco, USA"
TXN000056,ACC0003,74.63,Trader Joe's,Groceries,2023-04-28 21:53:00,"Los Angeles, USA"
TXN000057,ACC0037,1999.17,Apple Store,Electronics,2023-10-23 01:48:00,"Miami, USA"
TXN000058,ACC0049,533.39,Home Depot,Home Improvement,2023-04-03 18:27:00,"Miami, USA"
TXN000059,ACC0041,1941.2,United Airlines,Travel,2023-06-20 10:42:00,"Boston, USA"
TXN000060,ACC0007,726.63,American Airlines,Travel,2023-09-11 09:42:00,"Buenos Aires, Argentina"
TXN000061,ACC0026,1145.18,United Airlines,Travel,2023-05-10 10:07:00,"Seattle, USA"
TXN000062,ACC0050,110.2,Whole Foods,Groceries,2023-08-25 13:03:00,"Mexico City, Mexico"
TXN000063,ACC0013,33.02,Netflix,Subscription,2023-01-27 06:17:00,"San Francisco, USA"
TXN000064,ACC0036,158.25,Target,Shopping,2023-03-04 00:40:00,"Dubai, UAE"
TXN000065,ACC0039,1448.59,Delta Airlines,Travel,2023-10-10 13:05:00,"New York, USA"
TXN000066,ACC0015,315.58,United Airlines,Travel,2023-09-13 22:18:00,"Miami, USA"
TXN000067,ACC0033,44.47,Lyft,Transportation,2023-05-05 14:35:00,"San Francisco, USA"
TXN000068,ACC0010,185.55,Whole Foods,Groceries,2023-02-05 08:49:00,"Chicago, USA"
TXN000069,ACC0027,68.32,Shell,Gas,2023-05-25 23:19:00,"New York, USA"
TXN000070,ACC0038,1004.8,Apple Store,Electronics,2023-06-26 10:35:00,"San Francisco, USA"
TXN000071,ACC0049,25.49,Spotify,Subscription,2023-12-24 07:36:00,"Houston, USA"
TXN000072,ACC0025,158.48,Costco,Groceries,2023-12-28 12:24:00,"San Francisco, USA"
TXN000073,ACC0043,40657.71,Google Play,Subscription,2023-01-19 04:32:00,"Dubai, UAE"
TXN000074,ACC0038,30.52,Shell,Gas,2023-09-27 14:00:00,"Houston, USA"
TXN000075,ACC0047,438.05,Target,Shopping,2023-02-08 15:50:00,"Chicago, USA"
TXN000076,ACC0017,63.1,Shell,Gas,2023-12-12 17:24:00,"Seattle, USA"
TXN000077,ACC0021,44.93,Google Play,Subscription,2023-11-13 02:15:00,"New York, USA"
TXN000078,ACC0041,32.3,Uber,Transportation,2023-08-11 03:48:00,"Los Angeles, USA"
TXN000079,ACC0041,14.55,Lyft,Transportation,2023-01-15 01:20:00,"Miami, USA"
TXN000080,ACC0004,199.92,Walgreens,Healthcare,2023-10-17 21:50:00,"Boston, USA"
TXN000081,ACC0012,106.6,Home Depot,Home Improvement,2023-12-16 07:31:00,"Buenos Aires, Argentina"
TXN000082,ACC0038,241.35,Target,Shopping,2023-12-08 00:57:00,"Miami, USA"
TXN000083,ACC0030,282.37,Walgreens,Healthcare,2023-10-28 09:40:00,"Seattle, USA"
TXN000084,ACC0028,48.4,Lyft,Transportation,2023-09-05 03:15:00,"Boston, USA"
TXN000085,ACC0025,1170.88,Apple Store,Electronics,2023-01-12 21:25:00,"Vancouver, Canada"
TXN000086,ACC0018,435.23,Amazon,Shopping,2023-11-07 23:31:00,"Los Angeles, USA"
TXN000087,ACC0019,537.22,Expedia,Travel,2023-11-22 06:39:00,"San Francisco, USA"
TXN000088,ACC0017,73.49,Uber,Transportation,2023-11-18 03:57:00,"Chicago, USA"
TXN000089,ACC0041,18.9,Google Play,Subscription,2023-03-09 02:58:00,"Seattle, USA"
TXN000090,ACC0019,47.85,Shell,Gas,2023-09-29 16:58:00,"Seattle, USA"
TXN000091,ACC0018,588.24,United Airlines,Travel,2023-06-01 23:55:00,"Dubai, UAE"
TXN000092,ACC0022,989.83,Delta Airlines,Travel,2023-12-13 23:43:00,"Houston, USA"
TXN000093,ACC0026,1158.89,American Airlines,Travel,2023-07-22 00:16:00,"Los Angeles, USA"
TXN000094,ACC0035,60.34,McDonald's,Restaurants,2023-10-27 12:52:00,"Toronto, Canada"
TXN000095,ACC0041,62.12,Exxon,Gas,2023-11-09 07:41:00,"Seattle, USA"
TXN000096,ACC0005,25.89,Google Play,Subscription,2023-03-01 04:02:00,"Tokyo, Japan"
TXN000097,ACC0003,75.74,Walgreens,Healthcare,2023-07-18 14:23:00,"Chicago, USA"
TXN000098,ACC0043,1897.35,Airbnb,Travel,2023-08-01 20:06:00,"Chicago, USA"
TXN000099,ACC0032,1881.15,Microsoft Store,Electronics,2023-04-22 14:28:00,"Seattle, USA"
TXN000100,ACC0016,288.77,American Airlines,Travel,2023-02-01 12:17:00,"Seattle, USA"
TXN000101,ACC0013,125.04,McDonald's,Restaurants,2023-11-25 20:38:00,"Houston, USA"
TXN000102,ACC0002,180.08,Walmart,Shopping,2023-04-16 02:53:00,"São Paulo, Brazil"
TXN000103,ACC0049,31.39,Spotify,Subscription,2023-06-18 04:50:00,"San Francisco, USA"
TXN000104,ACC0039,432.03,Amazon,Shopping,2023-10-04 08:51:00,"Chicago, USA"
TXN000105,ACC0012,131.04,McDonald's,Restaurants,2023-05-02 18:20:00,"Seattle, USA"
TXN000106,ACC0002,80.83,Home Depot,Home Improvement,2023-02-28 23:04:00,Singapore
TXN000107,ACC0031,59.41,Subway,Restaurants,2023-09-15 07:39:00,"San Francisco, USA"
TXN000108,ACC0003,1826.63,Airbnb,Travel,2023-08-23 20:01:00,"Miami, USA"
TXN000109,ACC0004,65.03,Chipotle,Restaurants,2023-12-31 14:04:00,"San Francisco, USA"
TXN000110,ACC0006,33.16,Shell,Gas,2023-07-15 19:33:00,"Seattle, USA"
TXN000111,ACC0019,93.97,Subway,Restaurants,2023-12-02 20:56:00,"Los Angeles, USA"
TXN000112,ACC0050,43.95,Spotify,Subscription,2023-07-31 10:52:00,"Houston, USA"
TXN000113,ACC0030,149.98,Whole Foods,Groceries,2023-12-07 08:23:00,"Seattle, USA"
TXN000114,ACC0010,50.06,Uber,Transportation,2023-02-17 13:06:00,"Los Angeles, USA"
TXN000115,ACC0048,1642.36,Airbnb,Travel,2023-12-10 03:26:00,"Seattle, USA"
TXN000116,ACC0023,1888.15,American Airlines,Travel,2023-05-28 19:19:00,"New York, USA"
TXN000117,ACC0023,80.05,McDonald's,Restaurants,2023-04-25 03:22:00,"San Francisco, USA"
TXN000118,ACC0036,66.94,Exxon,Gas,2023-10-15 19:39:00,"Boston, USA"
TXN000119,ACC0044,6.18,Google Play,Subscription,2023-01-15 05:17:00,"Toronto, Canada"
TXN000120,ACC0045,1850.92,Expedia,Travel,2023-03-15 18:42:00,"Chicago, USA"
TXN000121,ACC0026,113.22,Starbucks,Restaurants,2023-09-29 06:24:00,"Chicago, USA"
TXN000122,ACC0027,30.35,Subway,Restaurants,2023-10-18 19:05:00,"Seattle, USA"
TXN000123,ACC0004,382.13,Target,Shopping,2023-05-20 14:42:00,"Los Angeles, USA"
TXN000124,ACC0028,70.77,Chipotle,Restaurants,2023-06-26 13:07:00,"Los Angeles, USA"
TXN000125,ACC0019,61.35,Uber,Transportation,2023-01-24 07:25:00,"Miami, USA"
TXN000126,ACC0039,118.12,Walmart,Shopping,2023-05-11 09:20:00,"Miami, USA"
TXN000127,ACC0008,378.57,Amazon,Shopping,2023-09-30 22:14:00,"Boston, USA"
TXN000128,ACC0033,35.06,Spotify,Subscription,2023-01-22 13:01:00,"Boston, USA"
TXN000129,ACC0030,52.45,Starbucks,Restaurants,2023-12-30 20:26:00,"Boston, USA"
TXN000130,ACC0019,10.96,McDonald's,Restaurants,2023-12-20 11:05:00,"San Francisco, USA"
TXN000131,ACC0028,562.3,American Airlines,Travel,2023-07-22 09:47:00,"Los Angeles, USA"
TXN000132,ACC0022,159.14,Costco,Groceries,2023-09-29 16:12:00,"Los Angeles, USA"
TXN000133,ACC0050,65.01,Exxon,Gas,2023-05-01 03:09:00,"Miami, USA"
TXN000134,ACC0017,1224.68,Best Buy,Electronics,2023-04-01 20:31:00,"Chicago, USA"
TXN000135,ACC0030,1543.77,Expedia,Travel,2023-11-18 10:09:00,"Seattle, USA"
TXN000136,ACC0029,70.79,Starbucks,Restaurants,2023-10-30 01:22:00,"Miami, USA"
TXN000137,ACC0033,73.57,Starbucks,Restaurants,2023-05-27 02:41:00,"Seattle, USA"
TXN000138,ACC0006,1038.78,Microsoft Store,Electronics,2023-08-19 18:41:00,"New York, USA"
TXN000139,ACC0013,51.16,Shell,Gas,2023-08-19 03:51:00,"New York, USA"
TXN000140,ACC0022,52.93,Lyft,Transportation,2023-12-29 14:28:00,"Houston, USA"
TXN000141,ACC0034,12.14,Netflix,Subscription,2023-07-18 13:49:00,"Miami, USA"
TXN000142,ACC0022,9.97,Uber,Transportation,2023-02-03 10:06:00,"Seattle, USA"
TXN000143,ACC0036,31.99,Uber,Transportation,2023-03-18 10:05:00,"Buenos Aires, Argentina"
TXN000144,ACC0038,92.09,Uber,Transportation,2023-03-08 19:45:00,"Boston, USA"
TXN000145,ACC0006,200.81,Walgreens,Healthcare,2023-12-10 22:53:00,"Miami, USA"
TXN000146,ACC0048,55.01,Uber,Transportation,2023-09-18 11:01:00,"Boston, USA"
TXN000147,ACC0024,476.56,Walgreens,Healthcare,2023-04-09 07:08:00,"San Francisco, USA"
TXN000148,ACC0010,127.91,Starbucks,Restaurants,2023-12-05 10:56:00,"New York, USA"
TXN000149,ACC0050,1214.63,Microsoft Store,Electronics,2023-12-21 19:51:00,"Chicago, USA"
TXN000150,ACC0011,183.02,Airbnb,Travel,2023-08-16 19:18:00,"Houston, USA"
TXN000151,ACC0049,952.96,Airbnb,Travel,2023-08-29 06:23:00,"Miami, USA"
TXN000152,ACC0044,950.28,Apple Store,Electronics,2023-09-15 16:26:00,"Boston, USA"
TXN000153,ACC0011,1622.39,United Airlines,Travel,2023-01-27 20:30:00,"Miami, USA"
TXN000154,ACC0024,9.62,Spotify,Subscription,2023-05-26 02:48:00,"Houston, USA"
TXN000155,ACC0011,454.55,CVS Pharmacy,Healthcare,2023-02-16 07:52:00,"Boston, USA"
TXN000156,ACC0029,26.47,Exxon,Gas,2023-05-01 12:05:00,"Seattle, USA"
TXN000157,ACC0024,15104.24,Shell,Gas,2024-01-01 20:21:00,"Houston, USA"
TXN000158,ACC0010,157.7,Target,Shopping,2023-12-28 15:28:00,"Miami, USA"
TXN000159,ACC0040,58.03,Amazon,Shopping,2023-10-08 23:38:00,"Chicago, USA"
TXN000160,ACC0034,158.59,Trader Joe's,Groceries,2023-01-25 07:26:00,"Los Angeles, USA"
TXN000161,ACC0041,968.52,Delta Airlines,Travel,2023-11-02 17:01:00,"San Francisco, USA"
TXN000162,ACC0041,15.89,Netflix,Subscription,2023-01-01 19:22:00,"Boston, USA"
TXN000163,ACC0016,415.26,Apple Store,Electronics,2023-02-04 16:34:00,"Seattle, USA"
TXN000164,ACC0033,3.38,Walmart,Shopping,2023-06-26 23:05:00,"Houston, USA"
TXN000165,ACC0025,44299.91,Walmart,Shopping,2023-07-11 08:47:00,"Berlin, Germany"
TXN000166,ACC0002,28.72,Exxon,Gas,2023-10-25 23:48:00,"Los Angeles, USA"
TXN000167,ACC0022,189.1,Target,Shopping,2023-12-17 14:44:00,"Chicago, USA"
TXN000168,ACC0031,41.52,Google Play,Subscription,2023-01-19 09:12:00,"San Francisco, USA"
TXN000169,ACC0003,1783.0,Delta Airlines,Travel,2023-09-21 12:52:00,"Miami, USA"
TXN000170,ACC0035,13.2,Chipotle,Restaurants,2023-07-02 01:55:00,"Miami, USA"
TXN000171,ACC0042,31.85,Shell,Gas,2023-08-14 12:21:00,"Boston, USA"
TXN000172,ACC0012,78.65,Chipotle,Restaurants,2023-05-17 02:46:00,Singapore
TXN000173,ACC0028,93.55,Starbucks,Restaurants,2023-05-31 10:06:00,"Mexico City, Mexico"
TXN000174,ACC0006,41.26,Shell,Gas,2023-03-27 22:28:00,"Boston, USA"
TXN000175,ACC0023,111.21,Subway,Restaurants,2023-08-11 08:40:00,"Buenos Aires, Argentina"
TXN000176,ACC0004,98.53,Starbucks,Restaurants,2023-01-16 04:54:00,"Chicago, USA"
TXN000177,ACC0039,46.63,Uber,Transportation,2023-11-27 11:23:00,"Houston, USA"
TXN000178,ACC0025,1229.93,Apple Store,Electronics,2023-07-10 14:48:00,"Seattle, USA"
TXN000179,ACC0005,1082.45,Apple Store,Electronics,2023-05-08 03:01:00,"Miami, USA"
TXN000180,ACC0048,532.21,Home Depot,Home Improvement,2023-05-15 08:45:00,"Houston, USA"
TXN000181,ACC0029,606.87,Best Buy,Electronics,2023-04-13 03:08:00,"Dubai, UAE"
TXN000182,ACC0005,135.61,Subway,Restaurants,2023-12-16 10:42:00,"Los Angeles, USA"
TXN000183,ACC0023,57.25,Lyft,Transportation,2023-03-22 22:45:00,"Miami, USA"
TXN000184,ACC0045,40.72,Google Play,Subscription,2023-04-13 04:15:00,"Los Angeles, USA"
TXN000185,ACC0032,285.93,Amazon,Shopping,2023-11-10 02:04:00,"Chicago, USA"
TXN000186,ACC0020,147.99,Whole Foods,Groceries,2023-10-22 02:08:00,"Boston, USA"
TXN000187,ACC0021,25.25,Google Play,Subscription,2023-03-07 17:40:00,"Seattle, USA"
TXN000188,ACC0038,967.28,Home Depot,Home Improvement,2023-03-05 16:09:00,"New York, USA"
TXN000189,ACC0020,342.98,Home Depot,Home Improvement,2023-09-23 09:54:00,"Paris, France"
TXN000190,ACC0006,324.83,CVS Pharmacy,Healthcare,2023-11-17 09:39:00,"Chicago, USA"
TXN000191,ACC0035,99.02,Starbucks,Restaurants,2023-03-29 21:39:00,"Chicago, USA"
TXN000192,ACC0047,1692.93,Microsoft Store,Electronics,2023-02-11 01:41:00,"New York, USA"
TXN000193,ACC0050,1319.7,Apple Store,Electronics,2023-11-13 20:01:00,"Tokyo, Japan"
TXN000194,ACC0032,18.04,Google Play,Subscription,2023-05-06 21:25:00,"Dubai, UAE"
TXN000195,ACC0020,105.78,Subway,Restaurants,2023-09-05 14:13:00,"Boston, USA"
TXN000196,ACC0022,659.54,Microsoft Store,Electronics,2023-07-24 04:48:00,"Paris, France"
TXN000197,ACC0024,9.78,Netflix,Subscription,2023-05-17 14:15:00,"Los Angeles, USA"
TXN000198,ACC0010,49.21,McDonald's,Restaurants,2023-05-08 05:52:00,"Boston, USA"
TXN000199,ACC0021,659.79,Apple Store,Electronics,2023-09-21 14:31:00,"Dubai, UAE"
TXN000200,ACC0020,20.79,Chipotle,Restaurants,2023-05-04 06:37:00,"San Francisco, USA"
TXN000201,ACC0023,155.05,Walmart,Shopping,2023-05-27 17:00:00,"San Francisco, USA"
TXN000202,ACC0007,178.25,Trader Joe's,Groceries,2023-07-07 01:25:00,"Berlin, Germany"
TXN000203,ACC0004,429.58,Apple Store,Electronics,2023-07-17 16:28:00,"Los Angeles, USA"
TXN000204,ACC0049,42.14,Spotify,Subscription,2023-03-07 03:25:00,"Los Angeles, USA"
TXN000205,ACC0024,1159.88,Delta Airlines,Travel,2023-04-12 19:32:00,"Chicago, USA"
TXN000206,ACC0026,7.04,Netflix,Subscription,2023-08-31 16:29:00,"Seattle, USA"
TXN000207,ACC0010,1055.24,Microsoft Store,Electronics,2023-03-25 12:39:00,"Seattle, USA"
TXN000208,ACC0048,1228.08,United Airlines,Travel,2023-12-29 18:19:00,"San Francisco, USA"
TXN000209,ACC0031,799.88,United Airlines,Travel,2023-10-26 09:50:00,"Boston, USA"
TXN000210,ACC0047,44244.46,Google Play,Subscription,2023-08-31 08:41:00,"Buenos Aires, Argentina"
TXN000211,ACC0050,3.38,Walmart,Shopping,2023-06-26 23:24:00,"Houston, USA"
TXN000212,ACC0047,250.62,Walmart,Shopping,2023-03-17 21:15:00,"Boston, USA"
TXN000213,ACC0003,264.3,Apple Store,Electronics,2023-08-03 04:26:00,"Seattle, USA"
TXN000214,ACC0045,1028.55,Best Buy,Electronics,2023-02-01 22:08:00,"San Francisco, USA"
TXN000215,ACC0034,683.85,Best Buy,Electronics,2023-06-10 05:29:00,"Boston, USA"
TXN000216,ACC0035,44.49,Shell,Gas,2023-07-22 00:19:00,"Buenos Aires, Argentina"
TXN000217,ACC0040,143.94,Chipotle,Restaurants,2023-04-26 09:49:00,"Miami, USA"
TXN000218,ACC0019,70.57,Lyft,Transportation,2023-06-28 17:59:00,"San Francisco, USA"
TXN000219,ACC0047,78.5,CVS Pharmacy,Healthcare,2023-07-22 11:49:00,"Boston, USA"
TXN000220,ACC0010,158.06,Walgreens,Healthcare,2023-08-15 20:16:00,"Paris, France"
TXN000221,ACC0048,36.69,Chipotle,Restaurants,2023-03-12 03:39:00,"Miami, USA"
TXN000222,ACC0048,522.79,Apple Store,Electronics,2023-11-23 07:03:00,"Houston, USA"
TXN000223,ACC0007,147.71,Trader Joe's,Groceries,2023-01-03 17:59:00,"Chicago, USA"
TXN000224,ACC0011,187.98,Trader Joe's,Groceries,2023-11-30 06:48:00,"Dubai, UAE"
TXN000225,ACC0019,60.52,Shell,Gas,2023-11-30 18:14:00,"Chicago, USA"
TXN000226,ACC0035,1715.63,Airbnb,Travel,2023-08-02 05:59:00,"Chicago, USA"
TXN000227,ACC0003,1597.13,United Airlines,Travel,2023-01-20 00:19:00,"Miami, USA"
TXN000228,ACC0037,1860.49,Microsoft Store,Electronics,2023-11-25 17:33:00,"San Francisco, USA"
TXN000229,ACC0032,262.02,Target,Shopping,2023-06-19 05:46:00,"Los Angeles, USA"
TXN000230,ACC0030,37.34,Google Play,Subscription,2023-06-01 18:43:00,"Seattle, USA"
TXN000231,ACC0049,1241.36,Best Buy,Electronics,2023-08-07 16:20:00,"Boston, USA"
TXN000232,ACC0006,32.65,Whole Foods,Groceries,2023-06-15 07:00:00,"Dubai, UAE"
TXN000233,ACC0017,97.65,Whole Foods,Groceries,2023-06-04 18:46:00,"Seattle, USA"
TXN000234,ACC0037,333.77,Amazon,Shopping,2023-12-08 03:29:00,"New York, USA"
TXN000235,ACC0020,695.49,Home Depot,Home Improvement,2023-12-20 03:40:00,"Vancouver, Canada"
TXN000236,ACC0019,37.15,Exxon,Gas,2023-03-20 14:47:00,"Dubai, UAE"
TXN000237,ACC0039,63.61,Exxon,Gas,2023-12-07 06:48:00,"Mexico City, Mexico"
TXN000238,ACC0016,61.6,Uber,Transportation,2023-08-17 16:45:00,Singapore
TXN000239,ACC0024,88.11,Starbucks,Restaurants,2023-10-21 17:09:00,"Houston, USA"
TXN000240,ACC0011,53.62,Shell,Gas,2023-10-26 15:05:00,"Houston, USA"
TXN000241,ACC0033,15.9,Subway,Restaurants,2023-08-22 18:03:00,"Boston, USA"
TXN000242,ACC0036,122.58,Subway,Restaurants,2023-05-11 00:47:00,"Berlin, Germany"
TXN000243,ACC0014,138.32,Apple Store,Electronics,2023-10-05 01:59:00,"Los Angeles, USA"
TXN000244,ACC0005,48.77,Chipotle,Restaurants,2023-11-25 23:41:00,"Chicago, USA"
TXN000245,ACC0027,46.04,Exxon,Gas,2023-07-12 02:43:00,"Berlin, Germany"
TXN000246,ACC0043,352.68,American Airlines,Travel,2023-04-02 17:25:00,"Houston, USA"
TXN000247,ACC0034,489.79,Target,Shopping,2023-06-02 14:43:00,"New York, USA"
TXN000248,ACC0047,28.94,Spotify,Subscription,2023-08-24 11:09:00,"San Francisco, USA"
TXN000249,ACC0018,1756.66,Best Buy,Electronics,2023-12-05 13:39:00,"Los Angeles, USA"
